,model,ACT
377,Multi-CNN VS Kyo Kusanagi,1
378,Multi-CNN VS Kyo Kusanagi,1
379,Multi-CNN VS Kyo Kusanagi,1
380,Multi-CNN VS Kyo Kusanagi,1
381,Multi-CNN VS Kyo Kusanagi,1
382,Multi-CNN VS Kyo Kusanagi,1
383,Multi-CNN VS Kyo Kusanagi,1
384,Multi-CNN VS Kyo Kusanagi,1
385,Multi-CNN VS Kyo Kusanagi,1
386,Multi-CNN VS Kyo Kusanagi,1
387,Multi-CNN VS Kyo Kusanagi,1
388,Multi-CNN VS Kyo Kusanagi,1
389,Multi-CNN VS Kyo Kusanagi,1
390,Multi-CNN VS Kyo Kusanagi,1
391,Multi-CNN VS Kyo Kusanagi,1
392,Multi-CNN VS Kyo Kusanagi,1
393,Multi-CNN VS Kyo Kusanagi,1
394,Multi-CNN VS Kyo Kusanagi,1
395,Multi-CNN VS Kyo Kusanagi,1
396,Multi-CNN VS Kyo Kusanagi,1
397,Multi-CNN VS Kyo Kusanagi,1
398,Multi-CNN VS Kyo Kusanagi,1
399,Multi-CNN VS Kyo Kusanagi,1
400,Multi-CNN VS Kyo Kusanagi,1
401,Multi-CNN VS Kyo Kusanagi,1
402,Multi-CNN VS Kyo Kusanagi,1
403,Multi-CNN VS Kyo Kusanagi,1
404,Multi-CNN VS Kyo Kusanagi,1
405,Multi-CNN VS Kyo Kusanagi,1
406,Multi-CNN VS Kyo Kusanagi,1
407,Multi-CNN VS Kyo Kusanagi,1
408,Multi-CNN VS Kyo Kusanagi,1
409,Multi-CNN VS Kyo Kusanagi,1
410,Multi-CNN VS Kyo Kusanagi,1
411,Multi-CNN VS Kyo Kusanagi,1
412,Multi-CNN VS Kyo Kusanagi,1
413,Multi-CNN VS Kyo Kusanagi,1
414,Multi-CNN VS Kyo Kusanagi,1
415,Multi-CNN VS Kyo Kusanagi,1
416,Multi-CNN VS Kyo Kusanagi,1
417,Multi-CNN VS Kyo Kusanagi,1
418,Multi-CNN VS Kyo Kusanagi,1
419,Multi-CNN VS Kyo Kusanagi,1
420,Multi-CNN VS Kyo Kusanagi,1
421,Multi-CNN VS Kyo Kusanagi,1
422,Multi-CNN VS Kyo Kusanagi,1
423,Multi-CNN VS Kyo Kusanagi,1
424,Multi-CNN VS Kyo Kusanagi,1
425,Multi-CNN VS Kyo Kusanagi,1
426,Multi-CNN VS Kyo Kusanagi,1
427,Multi-CNN VS Kyo Kusanagi,1
428,Multi-CNN VS Kyo Kusanagi,1
429,Multi-CNN VS Kyo Kusanagi,1
430,Multi-CNN VS Kyo Kusanagi,1
431,Multi-CNN VS Kyo Kusanagi,1
432,Multi-CNN VS Kyo Kusanagi,1
433,Multi-CNN VS Kyo Kusanagi,1
434,Multi-CNN VS Kyo Kusanagi,1
435,Multi-CNN VS Kyo Kusanagi,1
436,Multi-CNN VS Kyo Kusanagi,1
437,Multi-CNN VS Kyo Kusanagi,1
438,Multi-CNN VS Kyo Kusanagi,1
439,Multi-CNN VS Kyo Kusanagi,1
440,Multi-CNN VS Kyo Kusanagi,1
441,Multi-CNN VS Kyo Kusanagi,1
442,Multi-CNN VS Kyo Kusanagi,1
443,Multi-CNN VS Kyo Kusanagi,1
444,Multi-CNN VS Kyo Kusanagi,1
445,Multi-CNN VS Kyo Kusanagi,1
446,Multi-CNN VS Kyo Kusanagi,1
447,Multi-CNN VS Kyo Kusanagi,1
448,Multi-CNN VS Kyo Kusanagi,1
449,Multi-CNN VS Kyo Kusanagi,1
450,Multi-CNN VS Kyo Kusanagi,1
451,Multi-CNN VS Kyo Kusanagi,1
452,Multi-CNN VS Kyo Kusanagi,1
453,Multi-CNN VS Kyo Kusanagi,1
454,Multi-CNN VS Kyo Kusanagi,1
455,Multi-CNN VS Kyo Kusanagi,1
456,Multi-CNN VS Kyo Kusanagi,1
457,Multi-CNN VS Kyo Kusanagi,1
458,Multi-CNN VS Kyo Kusanagi,1
459,Multi-CNN VS Kyo Kusanagi,1
460,Multi-CNN VS Kyo Kusanagi,1
461,Multi-CNN VS Kyo Kusanagi,1
462,Multi-CNN VS Kyo Kusanagi,1
463,Multi-CNN VS Kyo Kusanagi,1
464,Multi-CNN VS Kyo Kusanagi,1
465,Multi-CNN VS Kyo Kusanagi,1
466,Multi-CNN VS Kyo Kusanagi,1
467,Multi-CNN VS Kyo Kusanagi,1
468,Multi-CNN VS Kyo Kusanagi,1
469,Multi-CNN VS Kyo Kusanagi,1
470,Multi-CNN VS Kyo Kusanagi,1
471,Multi-CNN VS Kyo Kusanagi,1
472,Multi-CNN VS Kyo Kusanagi,1
473,Multi-CNN VS Kyo Kusanagi,1
474,Multi-CNN VS Kyo Kusanagi,1
475,Multi-CNN VS Kyo Kusanagi,1
476,Multi-CNN VS Kyo Kusanagi,1
477,Multi-CNN VS Kyo Kusanagi,1
478,Multi-CNN VS Kyo Kusanagi,1
479,Multi-CNN VS Kyo Kusanagi,1
480,Multi-CNN VS Kyo Kusanagi,1
481,Multi-CNN VS Kyo Kusanagi,1
482,Multi-CNN VS Kyo Kusanagi,1
483,Multi-CNN VS Kyo Kusanagi,1
484,Multi-CNN VS Kyo Kusanagi,1
485,Multi-CNN VS Kyo Kusanagi,1
486,Multi-CNN VS Kyo Kusanagi,1
487,Multi-CNN VS Kyo Kusanagi,1
488,Multi-CNN VS Kyo Kusanagi,1
489,Multi-CNN VS Kyo Kusanagi,1
490,Multi-CNN VS Kyo Kusanagi,1
491,Multi-CNN VS Kyo Kusanagi,1
492,Multi-CNN VS Kyo Kusanagi,1
493,Multi-CNN VS Kyo Kusanagi,1
494,Multi-CNN VS Kyo Kusanagi,1
495,Multi-CNN VS Kyo Kusanagi,1
496,Multi-CNN VS Kyo Kusanagi,1
497,Multi-CNN VS Kyo Kusanagi,1
498,Multi-CNN VS Kyo Kusanagi,1
499,Multi-CNN VS Kyo Kusanagi,1
500,Multi-CNN VS Kyo Kusanagi,1
501,Multi-CNN VS Kyo Kusanagi,1
502,Multi-CNN VS Kyo Kusanagi,1
503,Multi-CNN VS Kyo Kusanagi,1
504,Multi-CNN VS Kyo Kusanagi,1
505,Multi-CNN VS Kyo Kusanagi,1
506,Multi-CNN VS Kyo Kusanagi,1
507,Multi-CNN VS Kyo Kusanagi,1
508,Multi-CNN VS Kyo Kusanagi,1
509,Multi-CNN VS Kyo Kusanagi,1
510,Multi-CNN VS Kyo Kusanagi,1
511,Multi-CNN VS Kyo Kusanagi,1
512,Multi-CNN VS Kyo Kusanagi,1
513,Multi-CNN VS Kyo Kusanagi,1
514,Multi-CNN VS Kyo Kusanagi,1
515,Multi-CNN VS Kyo Kusanagi,1
516,Multi-CNN VS Kyo Kusanagi,1
517,Multi-CNN VS Kyo Kusanagi,1
518,Multi-CNN VS Kyo Kusanagi,1
519,Multi-CNN VS Kyo Kusanagi,1
520,Multi-CNN VS Kyo Kusanagi,1
521,Multi-CNN VS Kyo Kusanagi,1
522,Multi-CNN VS Kyo Kusanagi,1
523,Multi-CNN VS Kyo Kusanagi,1
524,Multi-CNN VS Kyo Kusanagi,1
525,Multi-CNN VS Kyo Kusanagi,1
526,Multi-CNN VS Kyo Kusanagi,1
527,Multi-CNN VS Kyo Kusanagi,1
528,Multi-CNN VS Kyo Kusanagi,1
529,Multi-CNN VS Kyo Kusanagi,1
530,Multi-CNN VS Kyo Kusanagi,1
531,Multi-CNN VS Kyo Kusanagi,1
532,Multi-CNN VS Kyo Kusanagi,1
533,Multi-CNN VS Kyo Kusanagi,1
534,Multi-CNN VS Kyo Kusanagi,1
535,Multi-CNN VS Kyo Kusanagi,1
536,Multi-CNN VS Kyo Kusanagi,1
537,Multi-CNN VS Kyo Kusanagi,1
538,Multi-CNN VS Kyo Kusanagi,1
539,Multi-CNN VS Kyo Kusanagi,1
540,Multi-CNN VS Kyo Kusanagi,1
541,Multi-CNN VS Kyo Kusanagi,1
542,Multi-CNN VS Kyo Kusanagi,1
543,Multi-CNN VS Kyo Kusanagi,1
544,Multi-CNN VS Kyo Kusanagi,1
545,Multi-CNN VS Kyo Kusanagi,1
546,Multi-CNN VS Kyo Kusanagi,1
547,Multi-CNN VS Kyo Kusanagi,1
548,Multi-CNN VS Kyo Kusanagi,1
549,Multi-CNN VS Kyo Kusanagi,1
550,Multi-CNN VS Kyo Kusanagi,1
551,Multi-CNN VS Kyo Kusanagi,1
552,Multi-CNN VS Kyo Kusanagi,1
553,Multi-CNN VS Kyo Kusanagi,1
554,Multi-CNN VS Kyo Kusanagi,1
555,Multi-CNN VS Kyo Kusanagi,1
556,Multi-CNN VS Kyo Kusanagi,1
557,Multi-CNN VS Kyo Kusanagi,1
558,Multi-CNN VS Kyo Kusanagi,1
559,Multi-CNN VS Kyo Kusanagi,1
560,Multi-CNN VS Kyo Kusanagi,1
561,Multi-CNN VS Kyo Kusanagi,1
562,Multi-CNN VS Kyo Kusanagi,1
563,Multi-CNN VS Kyo Kusanagi,1
564,Multi-CNN VS Kyo Kusanagi,1
565,Multi-CNN VS Kyo Kusanagi,1
566,Multi-CNN VS Kyo Kusanagi,1
567,Multi-CNN VS Kyo Kusanagi,1
568,Multi-CNN VS Kyo Kusanagi,1
569,Multi-CNN VS Kyo Kusanagi,1
570,Multi-CNN VS Kyo Kusanagi,1
571,Multi-CNN VS Kyo Kusanagi,1
572,Multi-CNN VS Kyo Kusanagi,1
573,Multi-CNN VS Kyo Kusanagi,1
574,Multi-CNN VS Kyo Kusanagi,1
575,Multi-CNN VS Kyo Kusanagi,1
576,Multi-CNN VS Kyo Kusanagi,1
577,Multi-CNN VS Kyo Kusanagi,1
578,Multi-CNN VS Kyo Kusanagi,1
579,Multi-CNN VS Kyo Kusanagi,1
580,Multi-CNN VS Kyo Kusanagi,1
581,Multi-CNN VS Kyo Kusanagi,1
